control,uncontrol,run0,run1,run2,run3,run4,run5,use
CON001,CON031,1,1,1,1,1,0,1
CON002,CON021,1,1,1,1,1,1,1
CON003,CON022,1,1,1,1,1,1,1
CON004,CON030,1,1,1,1,1,1,1
CON005,CON023,1,1,1,1,1,1,1
CON006,CON025,1,1,1,1,1,1,1
CON007,CON016,1,1,1,1,1,1,1
CON008,CON053,1,1,1,1,1,1,1
CON009,CON052,1,1,1,1,1,1,1
CON010,CON089,1,1,1,1,1,1,1
CON011,CON020,1,1,1,1,1,1,1
CON012,CON033,1,1,1,1,1,1,1
CON013,CON019,1,1,1,1,1,1,1
CON014,CON084,1,1,1,1,1,1,1
CON015,CON027,1,1,1,1,1,1,1
CON017,CON049,1,1,1,1,1,1,1
CON018,CON028,1,1,1,1,1,1,1
CON024,CON026,1,1,1,1,1,1,1
CON029,CON054,1,1,1,1,1,1,1
CON032,CON034,1,1,1,1,1,1,1
CON035,CON036,1,1,1,1,1,1,1
CON037,CON058,1,1,1,1,1,1,1
CON038,CON056,1,1,1,1,1,1,1
CON039,CON075,1,1,1,1,1,1,1
CON040,CON072,1,1,1,1,1,1,1
CON041,CON055,1,1,1,1,1,1,1
CON042,CON061,1,1,1,1,1,1,1
CON043,CON057,1,1,1,1,1,1,1
CON044,CON067,1,1,1,1,1,1,1
CON045,CON064,1,1,1,1,1,1,1
CON046,CON068,1,1,1,1,1,1,1
CON047,CON059,1,1,1,1,1,1,1
CON048,CON051,1,1,1,1,1,1,1
CON050,CON078,1,1,1,1,1,1,1
CON060,CON077,1,0,0,1,1,1,1
CON062,CON066,0,1,1,1,1,1,1
CON063,CON098,1,1,1,1,1,1,1
CON065,CON076,1,1,1,1,1,1,1
CON069,CON073,1,1,1,1,1,1,1
CON070,DROP,1,1,1,1,1,1,0
CON071,CON085,1,1,1,1,0,0,1
CON074,CON091,1,1,1,1,1,1,1
CON079,CON090,1,1,1,1,1,1,1
CON080,CON082,1,1,1,1,1,1,1
CON081,CON121,1,1,1,1,1,1,0
CON083,CON097,1,1,1,1,1,1,1
CON086,CON101,1,1,1,1,1,1,1
CON087,CON092,1,1,1,1,1,1,1
CON088,CON103,1,1,1,1,1,1,1
CON093,CON102,1,1,1,1,1,1,1
CON094,CON099,1,1,1,1,1,1,1
CON095,CON096,1,1,1,1,1,1,1
CON100,DROP,1,1,1,1,1,1,0
CON104,CON106,1,1,1,1,1,1,1
CON105,CON110,1,1,1,0,1,0,1
CON107,CON119,1,1,1,1,1,1,1
CON108,CON118,1,1,1,1,1,1,1
CON109,CON116,1,1,1,1,1,1,1
CON111,CON114,1,1,1,1,1,1,1
CON112,CON113,1,1,1,1,1,1,1
CON115,CON123,1,1,1,1,1,1,0
CON117,CON120,1,1,1,1,1,1,0
CON122,CON125,1,1,1,1,1,1,0
CON124,No yoke,1,1,1,1,1,1,0
CON126,No yoke,1,1,1,1,1,1,0
